This job can be monitored from: https://scruffy.c3se.chalmers.se/d/alvis-job/alvis-job?var-jobid=1721004&from=1704418954000
0.03076910972595215
[INFO] Trainer: ngp | 2024-01-05_02-43-07 | cuda:0 | fp16 | cunerf-rhino-fine
[INFO] #parameters: 3737530
[INFO] Loading latest checkpoint ...
[INFO] Latest checkpoint is cunerf-rhino-fine/checkpoints/ngp_ep0003.pth.tar
[INFO] loaded model.
==> Start Training Epoch 1, lr=0.001000 ...

  0% 0/690000 [00:00<?, ?it/s]
loss=0.1220 (0.1205): :  43% 300000/690000 [00:48<01:01, 6350.59it/s]
loss=0.1243 (0.1206): :  43% 300000/690000 [00:50<01:01, 6350.59it/s]
loss=0.1243 (0.1206): :  45% 310000/690000 [00:50<00:59, 6417.47it/s]
loss=0.1194 (0.1206): :  45% 310000/690000 [00:51<00:59, 6417.47it/s]
loss=0.1194 (0.1206): :  46% 320000/690000 [00:51<00:58, 6377.14it/s]
loss=0.1200 (0.1206): :  46% 320000/690000 [00:53<00:58, 6377.14it/s]
loss=0.1200 (0.1206): :  48% 330000/690000 [00:53<00:56, 6354.17it/s]
loss=0.1200 (0.1206): :  48% 330000/690000 [00:55<00:56, 6354.17it/s]
loss=0.1200 (0.1206): :  49% 340000/690000 [00:55<00:55, 6337.41it/s]
loss=0.1205 (0.1206): :  49% 340000/690000 [00:56<00:55, 6337.41it/s]
loss=0.1205 (0.1206): :  51% 350000/690000 [00:56<00:53, 6402.29it/s]
loss=0.1228 (0.1206): :  51% 350000/690000 [00:58<00:53, 6402.29it/s]
loss=0.1228 (0.1206): :  52% 360000/690000 [00:58<00:51, 6365.17it/s]
loss=0.1228 (0.1207): :  52% 360000/690000 [00:59<00:51, 6365.17it/s]
loss=0.1228 (0.1207): :  54% 370000/690000 [00:59<00:50, 6351.90it/s]
loss=0.1203 (0.1207): :  54% 370000/690000 [01:01<00:50, 6351.90it/s]
loss=0.1203 (0.1207): :  55% 380000/690000 [01:01<00:48, 6426.79it/s]
loss=0.1162 (0.1206): :  55% 380000/690000 [01:02<00:48, 6426.79it/s]
loss=0.1162 (0.1206): :  57% 390000/690000 [01:02<00:46, 6386.90it/s]
loss=0.1155 (0.1204): :  57% 390000/690000 [01:04<00:46, 6386.90it/s]
loss=0.1155 (0.1204): :  58% 400000/690000 [01:04<00:45, 6368.06it/s]
loss=0.1179 (0.1204): :  58% 400000/690000 [01:06<00:45, 6368.06it/s]
loss=0.1179 (0.1204): :  59% 410000/690000 [01:06<00:44, 6355.67it/s]
loss=0.1179 (0.1203): :  59% 410000/690000 [01:07<00:44, 6355.67it/s]
loss=0.1179 (0.1203): :  61% 420000/690000 [01:07<00:41, 6430.18it/s]
loss=0.1181 (0.1203): :  61% 420000/690000 [01:09<00:41, 6430.18it/s]
loss=0.1181 (0.1203): :  62% 430000/690000 [01:09<00:40, 6390.02it/s]
loss=0.1203 (0.1203): :  62% 430000/690000 [01:10<00:40, 6390.02it/s]
loss=0.1203 (0.1203): :  64% 440000/690000 [01:10<00:39, 6374.56it/s]
loss=0.1187 (0.1202): :  64% 440000/690000 [01:12<00:39, 6374.56it/s]
loss=0.1187 (0.1202): :  65% 450000/690000 [01:12<00:37, 6439.55it/s]
loss=0.1204 (0.1202): :  65% 450000/690000 [01:13<00:37, 6439.55it/s]
loss=0.1204 (0.1202): :  67% 460000/690000 [01:13<00:35, 6408.72it/s]
loss=0.1180 (0.1202): :  67% 460000/690000 [01:15<00:35, 6408.72it/s]
loss=0.1180 (0.1202): :  68% 470000/690000 [01:15<00:34, 6379.98it/s]
loss=0.1211 (0.1202): :  68% 470000/690000 [01:16<00:34, 6379.98it/s]
loss=0.1211 (0.1202): :  70% 480000/690000 [01:16<00:32, 6458.41it/s]
loss=0.1150 (0.1201): :  70% 480000/690000 [01:18<00:32, 6458.41it/s]
loss=0.1150 (0.1201): :  71% 490000/690000 [01:18<00:31, 6422.80it/s]
loss=0.1205 (0.1201): :  71% 490000/690000 [01:20<00:31, 6422.80it/s]
loss=0.1205 (0.1201): :  72% 500000/690000 [01:20<00:29, 6395.32it/s]
loss=0.1199 (0.1201): :  72% 500000/690000 [01:21<00:29, 6395.32it/s]
loss=0.1199 (0.1201): :  74% 510000/690000 [01:21<00:28, 6364.80it/s]
