This job can be monitored from: https://scruffy.c3se.chalmers.se/d/alvis-job/alvis-job?var-jobid=1726174&from=1704591827000
[INFO] Trainer: ngp | 2024-01-07_02-44-00 | cuda:0 | fp16 | 
/cephyr/users/amirmaso/Alvis/microct-neural-repr/instant-NGP-cunerf/model/cunerf
-rhino-fine
[INFO] #parameters: 5296186
[INFO] Loading latest checkpoint ...
[WARN] No checkpoint found, model randomly initialized.
==> Start Training Epoch 1, lr=0.001000 ...

  0% 0/2725000 [00:00<?, ?it/s]
loss=0.1215 (0.1203): :   6% 165000/2725000 [00:41<10:04, 4232.58it/s]
loss=0.1215 (0.1203): :   6% 170000/2725000 [00:41<10:01, 4250.16it/s]
loss=0.1166 (0.1202): :   6% 170000/2725000 [00:42<10:01, 4250.16it/s]
loss=0.1166 (0.1202): :   6% 175000/2725000 [00:42<09:55, 4281.49it/s]
loss=0.1227 (0.1203): :   6% 175000/2725000 [00:43<09:55, 4281.49it/s]
loss=0.1227 (0.1203): :   7% 180000/2725000 [00:43<10:01, 4231.31it/s]
loss=0.1167 (0.1202): :   7% 180000/2725000 [00:44<10:01, 4231.31it/s]
loss=0.1167 (0.1202): :   7% 185000/2725000 [00:44<09:53, 4280.13it/s]
loss=0.1227 (0.1202): :   7% 185000/2725000 [00:46<09:53, 4280.13it/s]
loss=0.1227 (0.1202): :   7% 190000/2725000 [00:46<09:48, 4308.01it/s]
loss=0.1158 (0.1201): :   7% 190000/2725000 [00:47<09:48, 4308.01it/s]
loss=0.1158 (0.1201): :   7% 195000/2725000 [00:47<09:46, 4316.32it/s]
loss=0.1186 (0.1201): :   7% 195000/2725000 [00:48<09:46, 4316.32it/s]
loss=0.1186 (0.1201): :   7% 200000/2725000 [00:48<09:53, 4254.37it/s]
loss=0.1172 (0.1200): :   7% 200000/2725000 [00:49<09:53, 4254.37it/s]
loss=0.1172 (0.1200): :   8% 205000/2725000 [00:49<09:46, 4293.23it/s]
loss=0.1140 (0.1199): :   8% 205000/2725000 [00:50<09:46, 4293.23it/s]
loss=0.1140 (0.1199): :   8% 210000/2725000 [00:50<09:43, 4311.29it/s]
loss=0.1143 (0.1197): :   8% 210000/2725000 [00:52<09:43, 4311.29it/s]
loss=0.1143 (0.1197): :   8% 215000/2725000 [00:52<09:55, 4216.38it/s]
loss=0.1074 (0.1195): :   8% 215000/2725000 [00:53<09:55, 4216.38it/s]
loss=0.1074 (0.1195): :   8% 220000/2725000 [00:53<09:49, 4246.81it/s]
loss=0.1064 (0.1192): :   8% 220000/2725000 [00:54<09:49, 4246.81it/s]
loss=0.1064 (0.1192): :   8% 225000/2725000 [00:54<09:47, 4258.85it/s]
loss=0.0986 (0.1187): :   8% 225000/2725000 [00:55<09:47, 4258.85it/s]
loss=0.0986 (0.1187): :   8% 230000/2725000 [00:55<09:53, 4206.48it/s]
loss=0.0926 (0.1182): :   8% 230000/2725000 [00:56<09:53, 4206.48it/s]
